country,mode,model,mean_train_f1,mean_train_accuracy,mean_train_roc_auc,mean_train_specificity,mean_train_sensitivity,tp,tn,fp,fn,roc,sensitivity,specificity,f1,accuracy,best_params,is_SMOTE,refit
ML2018,sparse,Cost-sensitive Decision Tree,0.823757335,0.732371989,0.72448399,0.670040486,0.743930855,336,59,26,104,0.728877005,0.763636364,0.694117647,0.837905237,0.752380952,{'criterion': 'gini'},no,accuracy
ML2018,sparse,Cost-sensitive Nearest Neighbor,0.899173322,0.824333806,0.655788916,0.251147099,0.930921146,416,26,59,24,0.625668449,0.945454545,0.305882353,0.909289617,0.841904762,{'n_neighbors': 8},no,accuracy
ML2018,sparse,Cost-sensitive MLP,0.915123645,0.847294745,0.741987391,0.151821862,0.976642197,423,22,63,17,0.610093583,0.961363636,0.258823529,0.913606911,0.847619048,{'alpha': 0.05},no,accuracy
ML2018,sparse+contextual,Cost-sensitive Ridge,0.820054972,0.728223032,0.76873911,0.686099865,0.736111769,320,65,20,120,0.745989305,0.727272727,0.764705882,0.820512821,0.733333333,{'alpha': 1e-08},no,accuracy
ML2018,sparse+contextual,Cost-sensitive Decision Tree,0.870927853,0.784901842,0.618261613,0.371524966,0.861728629,383,33,52,57,0.62934492,0.870454545,0.388235294,0.875428571,0.792380952,{'criterion': 'gini'},no,accuracy
ML2018,sparse+contextual,Cost-sensitive Nearest Neighbor,0.904954495,0.831710855,0.701034081,0.194062078,0.950362302,418,17,68,22,0.575,0.95,0.2,0.902807775,0.828571429,{'n_neighbors': 8},no,accuracy
ML2018,sparse+contextual,Cost-sensitive MLP,0.911582877,0.843209877,0.748105615,0.214844804,0.960066304,433,18,67,7,0.597927807,0.984090909,0.211764706,0.921276596,0.859047619,{'alpha': 0.0001},no,accuracy
ML2018,all,Cost-sensitive Ridge,0.824303124,0.733943871,0.755779088,0.68582996,0.742898413,328,64,21,112,0.749197861,0.745454545,0.752941176,0.831432193,0.746666667,{'alpha': 1e-08},no,accuracy
ML2018,all,Cost-sensitive Decision Tree,0.878808893,0.794758146,0.600946823,0.318758435,0.883135212,390,23,62,50,0.578475936,0.886363636,0.270588235,0.874439462,0.786666667,{'criterion': 'entropy'},no,accuracy
ML2018,all,Cost-sensitive Nearest Neighbor,0.901902187,0.824310194,0.628670607,0.104723347,0.958148236,424,8,77,16,0.528877005,0.963636364,0.094117647,0.901168969,0.822857143,{'n_neighbors': 8},no,accuracy
ML2018,all,Cost-sensitive MLP,0.912941508,0.844842475,0.72525297,0.198785425,0.964963296,431,17,68,9,0.589772727,0.979545455,0.2,0.91799787,0.853333333,{'alpha': 0.1},no,accuracy
ML2006,sparse,Cost-sensitive Ridge,0.781403992,0.674871485,0.762231692,0.726849894,0.667335548,424,73,23,216,0.711458333,0.6625,0.760416667,0.780128795,0.675271739,{'alpha': 1e-08},no,accuracy
ML2006,sparse,Cost-sensitive Decision Tree,0.783204273,0.675454545,0.733787386,0.699260042,0.672026755,422,69,27,218,0.6890625,0.659375,0.71875,0.775022957,0.667119565,{'criterion': 'gini'},no,accuracy
ML2006,sparse,Cost-sensitive Nearest Neighbor,0.92268846,0.85855615,0.694083533,0.106976744,0.967751339,635,1,95,5,0.501302083,0.9921875,0.010416667,0.927007299,0.864130435,{'n_neighbors': 8},no,accuracy
